order_id,customer_id,seller_id,product_id,order_timestamp,order_date,order_hour,category,city,state,age_group,loyalty_tier,seller_tier,platform,payment_method,base_amount,discount_amount,delivery_fee,final_amount,status,delivery_time_hrs,rating
19,5009,569,505,2024-06-14 15:14:30,2024-06-14,15,Fashion,Delhi,Delhi,25-34,bronze,B,Website,Credit Card,241.57,2.46,29,268.11,delivered,68.33,5
20,878,601,321,2024-06-09 08:46:38,2024-06-09,8,Sports,Mumbai,Maharashtra,55+,silver,C,API,Credit Card,14900.95,442.95,0,14458.0,delivered,91.31,2
21,8614,337,666,2024-06-08 23:14:29,2024-06-08,23,Home & Kitchen,Pune,Maharashtra,35-44,bronze,B,Website,UPI,13825.54,117.25,0,13708.29,delivered,92.28,3
22,9381,156,341,2024-06-14 21:09:02,2024-06-14,21,Food,Chennai,Tamil Nadu,25-34,gold,A,App,UPI,82.52,8.88,39,112.64,delivered,33.72,5
23,7043,667,1877,2024-06-11 19:32:06,2024-06-11,19,Electronics,Jaipur,Rajasthan,35-44,platinum,B,App,Credit Card,65951.66,9613.45,0,56338.21,delivered,41.3,4
24,2359,503,123,2024-06-06 18:42:13,2024-06-06,18,Food,Delhi,Delhi,35-44,bronze,B,App,Credit Card,790.85,18.2,0,772.65,delivered,15.62,5
25,5204,325,1256,2024-06-04 17:11:43,2024-06-04,17,Sports,Chennai,Tamil Nadu,25-34,gold,B,Website,COD,7985.19,509.91,0,7475.28,delivered,26.64,4
26,3678,60,1335,2024-06-09 09:05:05,2024-06-09,9,Grocery,Pune,Maharashtra,35-44,bronze,C,App,UPI,1110.02,25.67,0,1084.35,delivered,37.0,4
27,6721,741,1991,2024-06-01 13:36:03,2024-06-01,13,Food,Mumbai,Maharashtra,25-34,bronze,C,Website,Credit Card,93.09,2.65,49,139.44,delivered,44.02,5
28,2159,83,1954,2024-06-14 13:02:46,2024-06-14,13,Grocery,Delhi,Delhi,18-24,silver,C,Website,Credit Card,1166.81,80.07,0,1086.74,delivered,34.74,4
29,5769,386,1421,2024-06-14 20:27:56,2024-06-14,20,Home & Kitchen,Kolkata,West Bengal,25-34,gold,B,Website,Credit Card,11082.27,1252.44,0,9829.83,delivered,90.03,2
30,545,63,750,2024-06-11 18:26:39,2024-06-11,18,Beauty,Chennai,Tamil Nadu,35-44,platinum,A,App,Wallet,1245.48,184.78,0,1060.7,delivered,1.69,5
31,2985,714,1354,2024-06-05 14:02:46,2024-06-05,14,Electronics,Kolkata,West Bengal,35-44,bronze,B,App,UPI,38860.16,667.44,0,38192.72,delivered,35.28,4
32,5211,281,961,2024-06-04 13:46:22,2024-06-04,13,Fashion,Mumbai,Maharashtra,25-34,bronze,B,Website,Debit Card,2329.22,37.77,0,2291.45,pending,,2
33,2525,313,463,2024-06-10 21:01:42,2024-06-10,21,Grocery,Delhi,Delhi,45-54,gold,A,App,Credit Card,1240.76,122.15,0,1118.61,delivered,4.46,5
34,10980,750,358,2024-06-12 20:45:02,2024-06-12,20,Beauty,Surat,Gujarat,55+,gold,B,App,Wallet,791.27,47.68,0,743.59,delivered,36.92,4
35,5878,229,451,2024-06-10 20:57:36,2024-06-10,20,Food,Chennai,Tamil Nadu,18-24,silver,B,App,Wallet,703.02,36.4,0,666.62,delivered,37.63,3
36,6053,114,22,2024-06-03 14:12:29,2024-06-03,14,Electronics,Ahmedabad,Gujarat,35-44,bronze,B,App,Credit Card,4255.2,28.73,0,4226.47,delivered,14.92,5
37,6414,612,1235,2024-06-15 16:49:56,2024-06-15,16,Food,Chennai,Tamil Nadu,25-34,silver,B,App,UPI,293.28,8.47,59,343.81,delivered,2.26,4
38,7755,209,1325,2024-06-02 17:14:53,2024-06-02,17,Electronics,Jaipur,Rajasthan,18-24,silver,B,Website,Credit Card,78439.16,2282.31,0,76156.85,delivered,49.27,4
39,6879,641,460,2024-06-01 11:36:35,2024-06-01,11,Home & Kitchen,Mumbai,Maharashtra,35-44,platinum,C,Website,UPI,11173.02,1965.29,0,9207.73,delivered,14.93,5
40,379,471,818,2024-06-06 13:50:27,2024-06-06,13,Fashion,Delhi,Delhi,35-44,platinum,B,App,Debit Card,1993.71,354.76,0,1638.95,delivered,42.21,5
41,1187,752,468,2024-06-04 16:43:20,2024-06-04,16,Grocery,Pune,Maharashtra,25-34,bronze,B,App,Credit Card,1792.81,36.85,0,1755.96,delivered,41.37,3
42,6616,371,1455,2024-06-08 19:42:54,2024-06-08,19,Electronics,Mumbai,Maharashtra,35-44,bronze,B,Website,UPI,27513.62,400.9,0,27112.72,delivered,75.45,1
43,3521,2,1134,2024-06-09 15:38:26,2024-06-09,15,Home & Kitchen,Hyderabad,Telangana,55+,gold,C,Website,UPI,995.04,101.29,0,893.75,delivered,65.89,4
44,9581,582,821,2024-06-11 10:42:52,2024-06-11,10,Food,Kolkata,West Bengal,45-54,platinum,C,Website,UPI,507.35,74.69,0,432.66,delivered,94.54,1
45,5472,291,1238,2024-06-04 15:49:12,2024-06-04,15,Fashion,Hyderabad,Telangana,25-34,bronze,B,Website,UPI,3698.24,52.79,0,3645.45,delivered,68.89,4
46,11199,60,1406,2024-06-12 17:10:56,2024-06-12,17,Electronics,Delhi,Delhi,55+,bronze,C,App,Wallet,27890.59,526.43,0,27364.16,delivered,28.81,5
47,8811,420,1715,2024-06-04 19:12:17,2024-06-04,19,Electronics,Mumbai,Maharashtra,18-24,bronze,B,App,COD,74217.65,1163.7,0,73053.95,cancelled,,2
48,7061,245,1758,2024-06-10 21:55:16,2024-06-10,21,Grocery,Mumbai,Maharashtra,18-24,silver,A,Website,Wallet,1216.23,54.8,0,1161.43,returned,,2
49,8981,722,1121,2024-06-10 12:11:57,2024-06-10,12,Home & Kitchen,Hyderabad,Telangana,35-44,silver,A,App,UPI,11626.05,718.52,0,10907.53,delivered,26.11,5
50,2009,352,481,2024-06-12 17:53:18,2024-06-12,17,Fashion,Mumbai,Maharashtra,18-24,platinum,B,Website,Credit Card,2421.11,247.43,0,2173.68,cancelled,,1
51,8892,761,1936,2024-06-11 14:09:26,2024-06-11,14,Food,Ahmedabad,Gujarat,25-34,bronze,B,App,Wallet,225.13,3.3,29,250.83,delivered,37.02,4
52,9000,759,545,2024-06-15 19:20:39,2024-06-15,19,Food,Bangalore,Karnataka,18-24,platinum,B,Website,Wallet,413.86,80.62,39,372.24,delivered,85.62,1
53,11750,516,277,2024-06-04 21:01:43,2024-06-04,21,Electronics,Chennai,Tamil Nadu,25-34,platinum,C,Website,Debit Card,5343.17,909.09,0,4434.08,delivered,11.94,5
54,11882,154,1063,2024-06-01 16:40:36,2024-06-01,16,Electronics,Mumbai,Maharashtra,35-44,bronze,B,App,UPI,44644.44,538.23,0,44106.21,delivered,4.56,5
55,10586,514,232,2024-06-01 21:39:45,2024-06-01,21,Fashion,Hyderabad,Telangana,35-44,gold,C,App,UPI,4584.41,444.9,0,4139.51,pending,,2
56,7297,356,929,2024-06-13 00:52:40,2024-06-13,0,Books,Surat,Gujarat,35-44,silver,B,App,UPI,370.27,9.22,49,410.05,delivered,0.51,4
57,11336,743,969,2024-06-13 21:46:02,2024-06-13,21,Books,Bangalore,Karnataka,25-34,gold,B,Website,Debit Card,158.14,17.58,49,189.56,pending,,2
58,7893,44,1716,2024-06-09 20:45:41,2024-06-09,20,Beauty,Delhi,Delhi,35-44,bronze,B,App,Credit Card,1499.29,26.07,0,1473.22,delivered,0.77,5
59,3616,533,1904,2024-06-14 10:28:33,2024-06-14,10,Food,Hyderabad,Telangana,25-34,bronze,B,App,Wallet,676.68,10.14,0,666.54,delivered,25.88,4
60,4705,337,118,2024-06-06 19:31:27,2024-06-06,19,Home & Kitchen,Delhi,Delhi,18-24,silver,B,App,UPI,1896.78,69.19,0,1827.59,delivered,34.28,5
61,11763,253,1207,2024-06-05 16:40:14,2024-06-05,16,Books,Delhi,Delhi,35-44,bronze,C,App,UPI,1200.17,29.63,0,1170.54,delivered,1.39,5
62,382,459,1338,2024-06-03 23:09:34,2024-06-03,23,Books,Pune,Maharashtra,25-34,platinum,A,App,Credit Card,931.5,181.04,0,750.46,delivered,34.96,4
63,1480,542,399,2024-06-06 13:10:41,2024-06-06,13,Fashion,Bangalore,Karnataka,18-24,gold,A,Website,Wallet,496.01,44.92,29,480.09,delivered,39.63,3
64,1713,329,120,2024-06-15 18:12:22,2024-06-15,18,Books,Delhi,Delhi,18-24,silver,C,App,Debit Card,194.89,11.69,49,232.2,delivered,41.98,3
65,1076,727,935,2024-06-13 17:58:49,2024-06-13,17,Beauty,Chennai,Tamil Nadu,45-54,platinum,B,Website,UPI,1090.48,146.6,0,943.88,delivered,46.67,3
66,11470,72,138,2024-06-10 11:15:28,2024-06-10,11,Fashion,Delhi,Delhi,18-24,platinum,B,Website,UPI,1242.3,209.39,0,1032.91,cancelled,,2
67,4610,696,1723,2024-06-11 20:22:50,2024-06-11,20,Home & Kitchen,Bangalore,Karnataka,25-34,bronze,C,App,COD,11153.24,157.94,0,10995.3,delivered,29.26,5
68,5343,131,1937,2024-06-10 20:10:12,2024-06-10,20,Fashion,Mumbai,Maharashtra,18-24,bronze,C,App,Debit Card,850.98,23.92,0,827.06,delivered,30.02,4
69,8775,622,1176,2024-06-02 17:30:55,2024-06-02,17,Beauty,Ahmedabad,Gujarat,35-44,platinum,A,Website,UPI,638.19,100.82,0,537.37,delivered,7.69,5
70,5947,34,786,2024-06-03 22:42:10,2024-06-03,22,Electronics,Surat,Gujarat,25-34,silver,C,App,UPI,32731.76,2050.64,0,30681.12,pending,,2
71,7915,334,1555,2024-06-01 22:51:46,2024-06-01,22,Food,Mumbai,Maharashtra,25-34,gold,C,App,Credit Card,417.38,39.15,49,427.23,delivered,8.21,4
72,5450,273,715,2024-06-13 20:12:16,2024-06-13,20,Beauty,Delhi,Delhi,35-44,bronze,B,App,Wallet,196.21,5.75,49,239.46,delivered,32.25,5
73,539,312,1827,2024-06-10 10:13:47,2024-06-10,10,Fashion,Bangalore,Karnataka,25-34,bronze,C,Website,COD,856.76,23.3,0,833.46,cancelled,,2
74,2170,621,1794,2024-06-08 21:10:27,2024-06-08,21,Home & Kitchen,Mumbai,Maharashtra,25-34,silver,B,App,Wallet,12583.57,661.48,0,11922.09,delivered,27.8,5
75,11413,480,969,2024-06-05 13:19:43,2024-06-05,13,Books,Pune,Maharashtra,18-24,gold,C,App,COD,163.57,18.56,29,174.01,delivered,4.72,5
76,5644,616,173,2024-06-02 17:22:13,2024-06-02,17,Electronics,Surat,Gujarat,55+,gold,C,Website,UPI,41939.6,2606.28,0,39333.32,delivered,5.28,5
77,952,379,1916,2024-06-02 23:17:01,2024-06-02,23,Food,Bangalore,Karnataka,35-44,bronze,B,App,Credit Card,60.62,1.74,29,87.88,delivered,22.46,5
78,3089,273,214,2024-06-02 12:03:22,2024-06-02,12,Beauty,Bangalore,Karnataka,25-34,silver,B,App,UPI,1947.48,64.76,0,1882.72,delivered,12.81,5
79,9336,40,631,2024-06-14 11:44:48,2024-06-14,11,Sports,Mumbai,Maharashtra,25-34,silver,A,App,UPI,3200.8,202.17,0,2998.63,delivered,13.5,5
80,6736,258,1770,2024-06-15 21:46:12,2024-06-15,21,Beauty,Jaipur,Rajasthan,35-44,gold,B,App,Credit Card,1739.12,193.73,0,1545.39,delivered,8.8,4
81,945,141,232,2024-06-02 02:09:36,2024-06-02,2,Fashion,Mumbai,Maharashtra,35-44,silver,A,App,Credit Card,4127.92,210.61,0,3917.31,delivered,37.27,3
82,10776,328,533,2024-06-01 11:47:15,2024-06-01,11,Electronics,Ahmedabad,Gujarat,45-54,bronze,C,App,UPI,53596.01,455.39,0,53140.62,returned,,2
83,11068,168,1356,2024-06-01 13:15:45,2024-06-01,13,Food,Kolkata,West Bengal,45-54,bronze,B,Website,Debit Card,564.05,16.7,0,547.35,delivered,81.26,2
84,11464,125,1485,2024-06-14 20:40:35,2024-06-14,20,Home & Kitchen,Mumbai,Maharashtra,35-44,silver,B,API,Credit Card,7425.44,405.78,0,7019.66,delivered,73.73,2
85,8139,689,872,2024-06-15 16:46:25,2024-06-15,16,Food,Delhi,Delhi,35-44,bronze,C,Website,Debit Card,767.28,21.49,0,745.79,pending,,1
86,8756,284,1542,2024-06-02 14:00:13,2024-06-02,14,Food,Ahmedabad,Gujarat,45-54,gold,B,Website,Wallet,174.35,20.2,29,183.15,delivered,90.83,2
87,11064,489,609,2024-06-13 22:22:42,2024-06-13,22,Home & Kitchen,Bangalore,Karnataka,25-34,silver,A,Website,Credit Card,13446.07,553.81,0,12892.26,delivered,73.51,1
88,11292,599,1980,2024-06-11 20:09:21,2024-06-11,20,Food,Delhi,Delhi,18-24,silver,B,App,Credit Card,483.07,21.09,29,490.98,delivered,44.28,5
89,9002,384,371,2024-06-10 18:37:47,2024-06-10,18,Beauty,Pune,Maharashtra,55+,platinum,A,App,UPI,1585.95,292.63,0,1293.32,delivered,3.37,4
90,8149,351,762,2024-06-04 13:57:58,2024-06-04,13,Food,Chennai,Tamil Nadu,55+,platinum,B,App,COD,786.73,112.52,0,674.21,delivered,45.96,3
91,445,260,1876,2024-06-10 21:07:05,2024-06-10,21,Beauty,Surat,Gujarat,45-54,bronze,B,App,UPI,360.85,1.37,49,408.48,delivered,17.87,4
92,4770,518,710,2024-06-09 12:36:36,2024-06-09,12,Fashion,Mumbai,Maharashtra,35-44,bronze,C,API,Credit Card,2301.83,21.53,0,2280.3,delivered,27.84,4
93,7293,42,1989,2024-06-07 22:25:53,2024-06-07,22,Grocery,Delhi,Delhi,25-34,platinum,B,API,COD,1877.01,298.83,0,1578.18,delivered,34.95,3
94,11128,548,1736,2024-06-01 12:23:38,2024-06-01,12,Home & Kitchen,Delhi,Delhi,25-34,gold,B,Website,Credit Card,8170.22,933.07,0,7237.15,delivered,52.86,3
95,1768,762,1664,2024-06-04 20:59:51,2024-06-04,20,Food,Chennai,Tamil Nadu,45-54,platinum,B,App,UPI,425.09,62.49,59,421.6,delivered,24.3,4
96,11183,515,1336,2024-06-13 21:39:47,2024-06-13,21,Sports,Bangalore,Karnataka,25-34,platinum,C,App,COD,1667.96,296.22,0,1371.74,delivered,34.6,3
97,7775,359,331,2024-06-06 12:35:16,2024-06-06,12,Home & Kitchen,Bangalore,Karnataka,45-54,bronze,C,Website,Debit Card,2644.13,48.29,0,2595.84,delivered,35.52,4
98,5589,239,708,2024-06-04 12:03:42,2024-06-04,12,Beauty,Mumbai,Maharashtra,25-34,bronze,B,Website,COD,1728.1,5.06,0,1723.04,delivered,20.6,5
99,2736,165,918,2024-06-14 08:54:32,2024-06-14,8,Food,Bangalore,Karnataka,35-44,silver,C,Website,Debit Card,266.28,14.31,49,300.97,delivered,22.66,4
100,9380,426,1355,2024-06-12 13:39:03,2024-06-12,13,Sports,Chennai,Tamil Nadu,55+,silver,A,App,UPI,15024.52,772.98,0,14251.54,delivered,32.57,5
101,4878,162,1304,2024-06-15 16:32:01,2024-06-15,16,Electronics,Ahmedabad,Gujarat,18-24,bronze,C,Website,UPI,34370.93,476.53,0,33894.4,delivered,36.23,5
102,7556,599,1338,2024-06-14 08:59:06,2024-06-14,8,Books,Bangalore,Karnataka,45-54,bronze,B,App,UPI,991.3,23.24,0,968.06,delivered,43.4,4
103,1112,793,1207,2024-06-02 10:36:33,2024-06-02,10,Books,Bangalore,Karnataka,55+,platinum,C,App,Debit Card,1129.93,223.03,0,906.9,delivered,3.22,5
104,3422,94,1107,2024-06-08 15:09:25,2024-06-08,15,Food,Ahmedabad,Gujarat,25-34,bronze,C,App,UPI,530.48,4.01,0,526.47,delivered,27.35,5
105,3035,475,53,2024-06-03 11:03:41,2024-06-03,11,Beauty,Mumbai,Maharashtra,35-44,silver,B,App,Debit Card,2133.88,135.99,0,1997.89,delivered,6.42,5
106,10895,648,1080,2024-06-15 20:24:05,2024-06-15,20,Electronics,Kolkata,West Bengal,35-44,gold,B,Website,Credit Card,47077.29,4374.72,0,42702.57,delivered,6.83,5
107,3063,692,1658,2024-06-09 13:54:15,2024-06-09,13,Beauty,Chennai,Tamil Nadu,18-24,silver,B,App,COD,2365.7,150.04,0,2215.66,delivered,19.09,5
108,2308,435,1711,2024-06-10 07:19:08,2024-06-10,7,Beauty,Kolkata,West Bengal,18-24,bronze,B,Website,UPI,838.8,24.56,0,814.24,delivered,27.93,5
109,956,746,682,2024-06-14 10:34:36,2024-06-14,10,Food,Hyderabad,Telangana,25-34,silver,C,Website,Wallet,153.74,3.96,49,198.78,delivered,55.88,3
110,11597,595,1904,2024-06-04 13:12:52,2024-06-04,13,Food,Delhi,Delhi,25-34,silver,C,App,UPI,670.46,17.39,0,653.07,delivered,2.28,5
111,6336,245,212,2024-06-05 10:41:03,2024-06-05,10,Books,Mumbai,Maharashtra,25-34,platinum,A,App,Credit Card,1200.72,238.94,0,961.78,delivered,25.74,4
112,3868,725,1298,2024-06-07 11:31:59,2024-06-07,11,Food,Bangalore,Karnataka,18-24,bronze,C,App,UPI,583.65,6.33,0,577.32,delivered,15.58,4
113,9540,376,624,2024-06-11 11:03:32,2024-06-11,11,Fashion,Kolkata,West Bengal,25-34,gold,A,App,Credit Card,552.76,45.18,0,507.58,delivered,39.62,4
114,3611,625,73,2024-06-05 14:57:45,2024-06-05,14,Sports,Mumbai,Maharashtra,35-44,silver,B,App,UPI,16264.36,605.57,0,15658.79,delivered,10.89,5
115,11545,548,1558,2024-06-04 17:37:41,2024-06-04,17,Fashion,Jaipur,Rajasthan,25-34,gold,B,Website,Wallet,1471.56,127.39,0,1344.17,delivered,58.4,3
116,4923,511,1385,2024-06-12 18:31:03,2024-06-12,18,Grocery,Hyderabad,Telangana,45-54,silver,B,Website,Credit Card,198.79,9.35,39,228.44,delivered,70.72,4
117,7617,476,1015,2024-06-01 21:02:24,2024-06-01,21,Electronics,Chennai,Tamil Nadu,35-44,silver,A,App,UPI,60369.6,4113.03,0,56256.57,delivered,6.3,5
118,7341,98,646,2024-06-13 19:01:06,2024-06-13,19,Sports,Bangalore,Karnataka,55+,bronze,C,App,COD,8757.17,208.51,0,8548.66,delivered,20.3,5
119,559,3,1159,2024-06-13 11:07:12,2024-06-13,11,Fashion,Pune,Maharashtra,18-24,silver,B,App,Credit Card,980.28,35.3,0,944.98,delivered,16.66,5
120,1148,517,647,2024-06-02 15:47:44,2024-06-02,15,Food,Delhi,Delhi,45-54,silver,B,API,UPI,564.96,18.6,0,546.36,pending,,2
121,2219,120,1757,2024-06-10 19:40:03,2024-06-10,19,Food,Delhi,Delhi,55+,gold,C,Website,Debit Card,294.4,19.06,39,314.34,delivered,38.1,5
122,4669,687,1801,2024-06-04 17:44:54,2024-06-04,17,Books,Jaipur,Rajasthan,25-34,silver,B,Website,Debit Card,282.25,14.06,29,297.19,pending,,2
123,40,572,1529,2024-06-04 10:06:05,2024-06-04,10,Food,Kolkata,West Bengal,35-44,silver,A,App,UPI,72.92,2.21,29,99.71,delivered,19.48,5
124,1300,123,680,2024-06-01 20:44:44,2024-06-01,20,Electronics,Surat,Gujarat,18-24,bronze,C,Website,Wallet,6215.22,57.33,0,6157.89,delivered,74.16,1
125,6971,635,649,2024-06-11 11:25:10,2024-06-11,11,Home & Kitchen,Kolkata,West Bengal,55+,platinum,A,App,Debit Card,3994.33,770.62,0,3223.71,delivered,12.66,4
126,11635,601,1072,2024-06-11 13:58:37,2024-06-11,13,Books,Chennai,Tamil Nadu,35-44,platinum,C,API,Credit Card,990.98,144.72,0,846.26,delivered,5.98,5
127,5533,16,1356,2024-06-04 19:38:29,2024-06-04,19,Food,Bangalore,Karnataka,35-44,bronze,B,App,UPI,712.94,10.86,0,702.08,delivered,33.87,4
128,5476,501,475,2024-06-10 22:52:09,2024-06-10,22,Electronics,Mumbai,Maharashtra,25-34,silver,B,App,COD,64138.25,3834.84,0,60303.41,delivered,20.78,5
129,3391,798,278,2024-06-01 21:18:07,2024-06-01,21,Fashion,Pune,Maharashtra,25-34,bronze,C,Website,COD,3834.82,81.38,0,3753.44,delivered,26.7,3
130,10076,402,1841,2024-06-04 22:29:39,2024-06-04,22,Food,Hyderabad,Telangana,25-34,bronze,C,App,UPI,649.39,6.65,0,642.74,delivered,33.68,4
131,5574,81,1351,2024-06-06 14:06:53,2024-06-06,14,Beauty,Bangalore,Karnataka,25-34,bronze,C,App,UPI,704.89,20.19,0,684.7,delivered,22.57,5
132,6061,505,1265,2024-06-10 15:28:55,2024-06-10,15,Books,Bangalore,Karnataka,25-34,silver,A,App,Credit Card,1280.61,28.45,0,1252.16,delivered,37.39,4
133,11236,392,1528,2024-06-10 10:15:42,2024-06-10,10,Fashion,Mumbai,Maharashtra,25-34,platinum,C,App,UPI,1546.73,170.64,0,1376.09,delivered,19.21,4
134,7238,1,1776,2024-06-07 16:03:16,2024-06-07,16,Fashion,Delhi,Delhi,55+,silver,B,Website,Credit Card,5126.59,332.79,0,4793.8,delivered,31.13,5
135,11771,591,917,2024-06-05 20:16:41,2024-06-05,20,Food,Surat,Gujarat,25-34,bronze,C,App,Debit Card,112.1,2.88,39,148.22,delivered,2.83,5
136,3708,504,540,2024-06-11 08:38:44,2024-06-11,8,Beauty,Mumbai,Maharashtra,18-24,bronze,B,App,UPI,2765.63,78.27,0,2687.36,delivered,2.82,5
137,6105,578,359,2024-06-07 13:44:07,2024-06-07,13,Fashion,Ahmedabad,Gujarat,18-24,bronze,B,App,Credit Card,3012.81,56.86,0,2955.95,delivered,19.29,5
138,7308,155,1346,2024-06-13 22:22:04,2024-06-13,22,Books,Ahmedabad,Gujarat,45-54,platinum,B,Website,Credit Card,716.66,81.89,0,634.77,delivered,63.19,4
139,3737,701,1322,2024-06-08 11:50:39,2024-06-08,11,Fashion,Chennai,Tamil Nadu,35-44,gold,B,Website,Debit Card,4819.32,520.78,0,4298.54,delivered,57.99,4
140,9521,100,1267,2024-06-03 12:44:35,2024-06-03,12,Food,Delhi,Delhi,35-44,silver,C,App,UPI,486.42,10.68,39,514.74,delivered,42.51,4
141,9984,426,84,2024-06-13 22:53:46,2024-06-13,22,Food,Hyderabad,Telangana,25-34,platinum,A,App,UPI,732.47,127.05,0,605.42,delivered,8.88,5
142,3303,697,1399,2024-06-10 13:34:48,2024-06-10,13,Books,Delhi,Delhi,25-34,bronze,B,App,Debit Card,1620.01,10.09,0,1609.92,pending,,2
143,9288,62,1939,2024-06-13 20:48:44,2024-06-13,20,Food,Mumbai,Maharashtra,25-34,silver,A,App,Debit Card,676.24,35.78,0,640.46,delivered,33.36,4
144,10192,655,940,2024-06-09 12:26:12,2024-06-09,12,Food,Delhi,Delhi,35-44,platinum,C,App,Credit Card,323.99,57.89,49,315.1,delivered,12.76,5
145,5812,478,1239,2024-06-13 12:16:29,2024-06-13,12,Food,Hyderabad,Telangana,35-44,silver,A,Website,UPI,777.58,34.32,0,743.26,delivered,85.25,3
146,3569,360,713,2024-06-07 11:34:52,2024-06-07,11,Beauty,Pune,Maharashtra,35-44,bronze,B,App,Debit Card,2773.11,20.06,0,2753.05,delivered,30.16,4
147,6080,569,964,2024-06-05 08:03:54,2024-06-05,8,Food,Kolkata,West Bengal,25-34,silver,B,Website,UPI,216.33,10.37,59,264.96,delivered,54.42,3
148,98,46,1616,2024-06-06 14:17:18,2024-06-06,14,Food,Hyderabad,Telangana,25-34,bronze,B,App,Debit Card,565.46,12.42,0,553.04,delivered,46.96,5
149,11699,319,90,2024-06-13 19:46:02,2024-06-13,19,Fashion,Kolkata,West Bengal,18-24,gold,B,App,UPI,4290.95,498.78,0,3792.17,delivered,16.8,4
150,11598,307,43,2024-06-15 16:24:09,2024-06-15,16,Home & Kitchen,Mumbai,Maharashtra,25-34,platinum,B,Website,UPI,12251.25,1421.27,0,10829.98,delivered,44.2,4
151,11279,89,95,2024-06-05 14:50:31,2024-06-05,14,Electronics,Pune,Maharashtra,55+,silver,C,Website,UPI,87528.54,4768.49,0,82760.05,delivered,37.16,5
152,11216,38,1062,2024-06-01 11:18:09,2024-06-01,11,Books,Pune,Maharashtra,25-34,silver,A,App,Debit Card,957.52,53.39,0,904.13,delivered,41.76,5
153,1844,254,607,2024-06-01 19:18:09,2024-06-01,19,Sports,Bangalore,Karnataka,18-24,bronze,B,API,Credit Card,5423.03,1.25,0,5421.78,delivered,48.54,4
